,Total Meal Fares,Total Delivery Fees,Total Restaurant Commissions,Total Orders,Marketplace Fee
Restaurant 973,5271.3,625,1319.86,250,0.250386053
Restaurant 974,4827.45,537.5,1212.68,216,0.251205088
Restaurant 975,8544.25,1080,2148.93,432,0.251505984
Restaurant 976,982.5,147.5,343.97,59,0.350096692
Restaurant 977,729.65,135,255.45,54,0.350099363
Restaurant 978,73090.05,9707.5,18277.17,3883,0.250063723
Restaurant 979,8474.5,945,2119.24,378,0.250072571
Restaurant 980,28888.45,3320,7245.65,1328,0.250814772
Restaurant 981,12564.65,1215,3138.6,486,0.249796055
Restaurant 982,16215.15,4022.5,4056.75,1609,0.2501827
Restaurant 983,533.9,75,186.88,30,0.350028095
Restaurant 984,4591.1,505,1148.09,202,0.250068611
Restaurant 985,12635,1995,3153.56,798,0.249589236
Restaurant 986,6730.5,735,1684.9,294,0.250338014
Restaurant 987,17880.75,1242.5,4480.3,497,0.250565552
Restaurant 988,5556.45,1750,1390.79,700,0.250301901
Restaurant 989,10494.1,1395,3151.75,558,0.300335427
Restaurant 990,3447.95,542.5,1034.85,217,0.300134863
Restaurant 991,13304.4,1657.5,3327.73,663,0.250122516
Restaurant 992,9554.6,1567.5,2862.35,627,0.299578214
Restaurant 993,8421.72,1390,2950.29,556,0.350319175
Restaurant 994,654.3,60,196.33,24,0.300061134
Restaurant 995,80311.9,12557.5,20089.42,5023,0.250142507
Restaurant 996,7050.2,897.5,2115.89,359,0.300117727
Restaurant 997,391.7,107.5,117.51,43,0.3
Restaurant 998,87496.55,10442.5,26238.61,4177,0.299881652
Restaurant 999,17652.25,2055,4415.96,822,0.250164143
Restaurant 1000,4682.95,695,1639.96,278,0.350198059
Restaurant 1001,7634.19,630,1904.74,252,0.249501257
Restaurant 1002,26203.25,6402.5,7855.35,2561,0.299785332
Restaurant 1003,2180.2,270,656.64,108,0.301183378
Restaurant 1004,1249,132.5,374.7,53,0.3
Restaurant 1005,4674.7,472.5,1407.09,189,0.301001134
Restaurant 1006,5646.4,1167.5,1694.1,467,0.300031879
Restaurant 1007,16365.05,1617.5,4092.8,647,0.25009395
Restaurant 1008,21090.8,3262.5,6317.94,1305,0.299559049
Restaurant 1009,8.24,2.5,2.88,1,0.349514563
Restaurant 1010,45676.25,5545,11413.23,2218,0.249872308
Restaurant 1011,16223.7,1842.5,4059.53,737,0.250222206
Restaurant 1012,9648.7,1780,2894.61,712,0.3
Restaurant 1013,2465.3,320,741.32,128,0.30070174
Restaurant 1014,1035.5,165,260.17,66,0.251250604
Restaurant 1015,11546.2,880,3466.71,352,0.300246834
Restaurant 1016,77,20,23.1,8,0.3
Restaurant 1017,5658.4,670,1698.92,268,0.30024742
Restaurant 1018,3207.44,515,1122.9,206,0.350092285
Restaurant 1019,2392.85,325,837.73,130,0.350097164
Restaurant 1020,2702.1,307.5,810.95,123,0.300118426
Restaurant 1021,4449.65,685,1334.84,274,0.299987639
Restaurant 1022,401.83,87.5,100.5,35,0.250105766
Restaurant 1023,1560.45,230,542.35,92,0.347559999
Restaurant 1024,1945.4,317.5,583.66,127,0.300020561
Restaurant 1025,29.36,10,10.28,4,0.35013624
Restaurant 1026,49629.8,6655,12403.8,2662,0.249926455
Restaurant 1027,686,117.5,240.12,47,0.350029155
Restaurant 1028,410.8,55,143.87,22,0.350219085
